DATE,CPI,UNRATE,INDPRO,HOUST,TRDBAL,REAINTRATT10Y
1992-01-01,4.069913371,7.3,61.4898,1176.0,-2026.0,3.19854245
1992-02-01,3.878184354,7.4,61.9299,1250.0,-831.0,3.62829159
1992-03-01,3.990512759,7.4,62.449,1297.0,-2641.0,3.66026498
1992-04-01,4.077543119,7.4,62.9312,1099.0,-3109.0,3.78985987
1992-05-01,3.937860894,7.6,63.1359,1214.0,-3919.0,3.74616997
1992-06-01,3.875841001,7.8,63.1736,1145.0,-2824.0,3.56857666
1992-07-01,3.785344226,7.7,63.7408,1139.0,-2781.0,3.35309944
1992-08-01,3.644349796,7.6,63.3917,1226.0,-4455.0,3.1248226
1992-09-01,3.363566041,7.6,63.5927,1186.0,-3530.0,2.95734236
1992-10-01,3.654950596,7.3,64.0282,1244.0,-3520.0,2.72804375
1992-11-01,3.649402976,7.4,64.2732,1214.0,-3968.0,3.32463334
1992-12-01,3.497528562,7.4,64.3668,1227.0,-5603.0,3.50968543
1993-01-01,3.547354737,7.3,64.6256,1210.0,-3871.0,3.26790846
1993-02-01,3.580667722,7.1,64.929,1210.0,-3596.0,3.00478524
1993-03-01,3.353160609,7.0,64.872,1083.0,-6777.0,2.67342493
1993-04-01,3.422176699,7.1,65.0611,1258.0,-6445.0,2.77451693
1993-05-01,3.551431283,7.1,64.8104,1260.0,-4369.0,2.66472062
1993-06-01,3.583428873,7.0,64.9553,1280.0,-6929.0,2.76123734
1993-07-01,3.437046316,6.9,65.1198,1254.0,-6382.0,2.59179878
1993-08-01,3.522739086,6.8,65.0494,1300.0,-5581.0,2.70290307
1993-09-01,3.656038681,6.7,65.3882,1343.0,-7031.0,2.45058069
1993-10-01,3.433321443,6.8,65.8702,1392.0,-6594.0,2.39884319
1993-11-01,3.445125507,6.6,66.1779,1376.0,-7016.0,2.56229533
1993-12-01,3.557822725,6.5,66.5602,1533.0,-5719.0,2.72011647
1994-01-01,3.384372964,6.6,66.7722,1272.0,-6207.0,2.77268493
1994-02-01,3.424654259,6.6,66.8068,1337.0,-9245.0,2.62016875
1994-03-01,3.578833286,6.5,67.4832,1564.0,-6466.0,2.97120305
1994-04-01,3.364064138,6.4,67.8771,1465.0,-7887.0,3.65918278
1994-05-01,3.238103819,6.1,68.1961,1526.0,-7728.0,3.62457709
1994-06-01,3.207540833,6.1,68.6526,1409.0,-8380.0,3.59356552
1994-07-01,3.245680943,6.1,68.7353,1439.0,-8739.0,3.7864194
1994-08-01,3.318864731,6.0,69.1954,1450.0,-8303.0,3.58028405
1994-09-01,3.267212367,5.9,69.4017,1474.0,-8310.0,3.6371045
1994-10-01,3.178740091,5.8,69.969,1450.0,-9158.0,3.95662307
1994-11-01,3.142092625,5.6,70.4367,1511.0,-9615.0,4.10325275
1994-12-01,2.915659975,5.5,71.1413,1455.0,-8456.0,4.11695307
1995-01-01,3.159681044,5.6,71.2762,1407.0,-9324.0,4.24429022
1995-02-01,3.139699974,5.4,71.1904,1316.0,-8817.0,4.05499673
1995-03-01,3.184482491,5.4,71.2891,1249.0,-9708.0,3.72098557
1995-04-01,3.322916117,5.8,71.1623,1267.0,-9609.0,3.6549273
1995-05-01,3.367477772,5.6,71.5044,1314.0,-9090.0,3.4204808
1995-06-01,3.34707431,5.6,71.743,1281.0,-10623.0,2.90471287
1995-07-01,3.402097044,5.7,71.4459,1461.0,-7688.0,2.93803016
1995-08-01,3.255560049,5.7,72.38,1416.0,-6704.0,3.14848844
1995-09-01,3.368207809,5.6,72.6601,1369.0,-5924.0,3.01759856
1995-10-01,3.479287466,5.5,72.5428,1369.0,-6114.0,3.0097294
1995-11-01,3.394879542,5.6,72.7178,1452.0,-6514.0,2.88422441
1995-12-01,3.397750888,5.6,72.9672,1431.0,-6271.0,2.72215346
1996-01-01,3.294296705,5.6,72.5866,1467.0,-8465.0,2.64759197
1996-02-01,3.278044833,5.5,73.6389,1491.0,-7319.0,2.59785872
1996-03-01,3.15123296,5.5,73.5202,1424.0,-7756.0,2.8972936
1996-04-01,3.021419042,5.6,74.2664,1516.0,-8744.0,3.10833442
1996-05-01,3.065009249,5.6,74.8145,1504.0,-9259.0,3.30502587
1996-06-01,3.066510398,5.3,75.3779,1467.0,-7460.0,3.49408029
1996-07-01,3.103134864,5.5,75.3754,1472.0,-10132.0,3.36926055
1996-08-01,3.096243134,5.1,75.7568,1557.0,-10357.0,3.32941538
1996-09-01,3.076709572,5.2,76.2304,1475.0,-10195.0,3.52082209
1996-10-01,2.957328624,5.2,76.2193,1392.0,-6635.0,3.31834947
1996-11-01,2.99348831,5.4,76.8941,1489.0,-7268.0,3.14164675
1996-12-01,3.066760867,5.4,77.3731,1370.0,-10475.0,2.95093511
1997-01-01,2.924852958,5.3,77.5138,1355.0,-11269.0,3.2548678
1997-02-01,2.815492049,5.2,78.4246,1486.0,-9776.0,3.21337489
1997-03-01,2.868448161,5.2,78.9266,1457.0,-8383.0,3.3085558
1997-04-01,2.924881516,5.1,78.9924,1492.0,-8086.0,3.55047337
1997-05-01,2.883239208,4.9,79.4411,1442.0,-8394.0,3.43698117
1997-06-01,2.841507556,5.0,79.8048,1494.0,-7154.0,3.27910832
1997-07-01,2.764311367,4.9,80.48,1437.0,-7033.0,3.19987642
1997-08-01,2.668660701,4.8,81.2862,1390.0,-8743.0,3.0885119
1997-09-01,2.558893145,4.9,82.038,1546.0,-9269.0,3.15086952
1997-10-01,2.633884037,4.7,82.7657,1520.0,-9089.0,3.01659074
1997-11-01,2.564888202,4.6,83.4321,1510.0,-9786.0,2.97295683
1997-12-01,2.636585632,4.7,83.7826,1566.0,-11289.0,2.91985104
1998-01-01,2.686312997,4.6,84.1656,1525.0,-10776.0,2.84030163
1998-02-01,2.70235568,4.6,84.3048,1584.0,-11564.0,2.77706891
1998-03-01,2.682792941,4.7,84.3416,1567.0,-12880.0,2.85251196
1998-04-01,2.650550927,4.3,84.6263,1540.0,-13940.0,2.84606553
1998-05-01,2.621199946,4.4,85.1839,1536.0,-14202.0,2.89304228
1998-06-01,2.610692088,4.5,84.6809,1641.0,-13247.0,2.87099745
1998-07-01,2.613395599,4.5,84.3448,1698.0,-13949.0,2.77070571
1998-08-01,2.643666793,4.5,86.0846,1614.0,-16028.0,2.77934018
1998-09-01,2.603431515,4.6,85.9945,1582.0,-14820.0,2.49623921
1998-10-01,2.54435291,4.5,86.5967,1715.0,-14815.0,1.93514547
1998-11-01,2.531446927,4.4,86.5114,1660.0,-15173.0,2.22103048
1998-12-01,2.446189532,4.4,86.8608,1792.0,-14745.0,2.22957981
1999-01-01,2.3907588,4.3,87.2277,1748.0,-15876.0,2.30815245
1999-02-01,2.3238316,4.4,87.7266,1670.0,-18468.0,2.36759019
1999-03-01,2.2464619,4.2,87.9203,1710.0,-17719.0,2.71035881
